Alderaan,3
Yavin IV,0
Hoth,0
Dagobah,0
Bespin,1
Endor,1
Naboo,11
Coruscant,3
Kamino,3
Geonosis,1
Utapau,1
Mustafar,0
Kashyyyk,2
Polis Massa,0
Mygeeto,0
Felucia,0
Cato Neimoidia,1
Saleucami,0
Stewjon,1
Eriadu,1
Corellia,2
Rodia,1
Nal Hutta,1
Dantooine,0
Bestine IV,1
Ord Mantell,0
,0
Trandosha,1
Socorro,1
Mon Cala,1
Chandrila,1
Sullust,1
Toydaria,1
Malastare,1
Dathomir,1
Ryloth,2
Aleen Minor,1
Vulpter,1
Troiken,1
Tund,1
Haruun Kal,1
Cerea,1
Glee Anselm,1
Iridonia,1
Tholoth,0
Iktotch,1
Quermia,1
Dorin,1
Champala,1
Mirial,2
Serenno,1
Concord Dawn,1
Zolan,1
Ojom,1
Skako,1
Muunilinst,1
Shili,1
Kalee,1
Umbara,1
Tatooine,10
Jakku,0
